"Direction","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"1","GO:0044708","single-organism behavior","16/88","417/14042",5.61495288643537e-09,1.01293750071294e-05,8.49926552704638e-06,"Nr4a2/Adcyap1/Crhbp/Tac1/Lmx1a/C1ql1/Klhl1/Slitrk6/Foxa2/Kit/Lmx1b/Neurod2/Nrxn1/Foxb1/Bdnf/Chl1",16,"BP"
"1","GO:0007409","axonogenesis","15/88","381/14042",1.26437269313312e-08,1.14046416920607e-05,9.56930490908116e-06,"Nr4a2/Myo5b/Ret/Lmx1a/Nrp2/Epha7/Slitrk6/Ntn1/Ntng1/Sema5a/Foxb1/Prdm8/Bdnf/Etv4/Chl1",15,"BP"
"1","GO:0061564","axon development","15/88","408/14042",3.1453681139674e-08,1.8914146925324e-05,1.58703135013513e-05,"Nr4a2/Myo5b/Ret/Lmx1a/Nrp2/Epha7/Slitrk6/Ntn1/Ntng1/Sema5a/Foxb1/Prdm8/Bdnf/Etv4/Chl1",15,"BP"
"1","GO:0008137","NADH dehydrogenase (ubiquinone) activity","5/88","26/14003",5.18033754950961e-07,5.29215167156547e-05,4.59834805529325e-05,"ND2/ND1/ND5/ND4/ND6",5,"MF"
"1","GO:0050136","NADH dehydrogenase (quinone) activity","5/88","26/14003",5.18033754950961e-07,5.29215167156547e-05,4.59834805529325e-05,"ND2/ND1/ND5/ND4/ND6",5,"MF"
"1","GO:0003954","NADH dehydrogenase activity","5/88","27/14003",6.32632693073407e-07,5.29215167156547e-05,4.59834805529325e-05,"ND2/ND1/ND5/ND4/ND6",5,"MF"
"1","GO:0001077","transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding","10/88","212/14003",8.25802625672397e-07,5.29215167156547e-05,4.59834805529325e-05,"Nr4a2/Pitx2/Foxa1/Ebf1/Ebf2/Ebf3/Neurod6/Foxa2/Tcf4/Barhl1",10,"MF"
"1","GO:0000977","RNA polymerase II regulatory region sequence-specific DNA binding","14/88","464/14003",1.07823106119599e-06,5.29215167156547e-05,4.59834805529325e-05,"Nr4a2/Pitx2/Ebf1/Ebf2/Ebf3/Lmx1a/Neurod6/Foxa2/Lmx1b/Neurod2/Tcf4/Nhlh2/Barhl1/Etv4",14,"MF"
"1","GO:0001012","RNA polymerase II regulatory region DNA binding","14/88","470/14003",1.25544772555275e-06,5.29215167156547e-05,4.59834805529325e-05,"Nr4a2/Pitx2/Ebf1/Ebf2/Ebf3/Lmx1a/Neurod6/Foxa2/Lmx1b/Neurod2/Tcf4/Nhlh2/Barhl1/Etv4",14,"MF"
"1","GO:0001228","transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding","11/88","283/14003",1.52414319807013e-06,5.29215167156547e-05,4.59834805529325e-05,"Nr4a2/Pitx2/Foxa1/Ebf1/Ebf2/Ebf3/Neurod6/Foxa2/Neurod2/Tcf4/Barhl1",11,"MF"
"1","GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","5/88","32/14003",1.53953503172814e-06,5.29215167156547e-05,4.59834805529325e-05,"ND2/ND1/ND5/ND4/ND6",5,"MF"
"1","GO:0070469","respiratory chain","7/90","79/14216",6.44362467245842e-07,6.65941156401621e-05,5.60792552759259e-05,"ND2/ND1/ND5/ND4/CYTB/ND6/COX1",7,"CC"
"1","GO:0098793","presynapse","12/90","321/14216",8.10125786366342e-07,6.65941156401621e-05,5.60792552759259e-05,"Adcyap1/Slc17a6/Gabra2/Crhbp/C1ql1/Cdh8/Calb2/Unc13c/Tmem163/Grm2/Nrxn1/Bdnf",12,"CC"
"1","GO:0030424","axon","14/90","459/14216",1.05148603642361e-06,6.65941156401621e-05,5.60792552759259e-05,"Adcyap1/Slc17a6/Gabra2/Crhbp/Ret/Tac1/C1ql1/Nrp2/Calb2/Unc13c/Grm2/Nrxn1/Bdnf/Ncam2",14,"CC"
"1","GO:0001764","neuron migration","9/88","154/14042",4.95765282876273e-07,0.000223590142577199,0.000187608020204232,"Nr4a2/Pitx2/Nrp2/Ntn1/Erbb4/Lmx1b/Hsp90aa1/Barhl1/Chl1",9,"BP"
"1","GO:0050769","positive regulation of neurogenesis","14/88","452/14042",7.6404123851785e-07,0.000247633443195799,0.000207782058183895,"Adcyap1/Foxa1/Myo5b/Ret/Lmx1a/Foxa2/Ntn1/Kit/Neurod2/Dmrta2/Tcf4/Cpne9/Sema5a/Bdnf",14,"BP"
"1","GO:0042773","ATP synthesis coupled electron transport","6/88","52/14042",8.2361455608359e-07,0.000247633443195799,0.000207782058183895,"ND2/ND5/ND4/CYTB/COX1/Bdnf",6,"BP"
"1","GO:0071542","dopaminergic neuron differentiation","5/88","31/14042",1.28784962921877e-06,0.000331897247301522,0.00027848537846866,"Nr4a2/Lmx1a/Foxa2/Lmx1b/Dmrta2",5,"BP"
"1","GO:0004714","transmembrane receptor protein tyrosine kinase activity","5/88","53/14003",1.97779260090557e-05,0.000604325516943368,0.000525098152521127,"Ret/Nrp2/Epha7/Erbb4/Kit",5,"MF"
"1","GO:0045666","positive regulation of neuron differentiation","12/88","368/14042",3.00090666337554e-06,0.000616346274445853,0.000517158328073951,"Adcyap1/Foxa1/Myo5b/Ret/Lmx1a/Foxa2/Ntn1/Neurod2/Tcf4/Cpne9/Sema5a/Bdnf",12,"BP"
"1","GO:0007270","neuron-neuron synaptic transmission","8/88","143/14042",3.07489826497377e-06,0.000616346274445853,0.000517158328073951,"Adcyap1/Crhbp/Tac1/Erbb4/Cdh8/Grm2/Nrxn1/Bdnf",8,"BP"
